juris,year,count
rheinland-pfalz,1985,234385
rheinland-pfalz,2014,217652
brandenburg,2011,634752
bund,1991,425848
sachsen,2008,140404
bayern,2013,354758
bremen,2010,199421
nordrhein-westfalen,1975,110986
baden-württemberg,2002,494599
brandenburg,1993,262011
hessen,1990,218737
rheinland-pfalz,2018,284638
hessen,2008,485134
schleswig-holstein,2015,299304
niedersachsen,2000,463160
niedersachsen,1999,452951
bund,2013,703796
hamburg,2012,482761
bund,2008,719651
nordrhein-westfalen,1989,133552
hessen,2012,483779
schleswig-holstein,1994,110049
brandenburg,2001,523609
thüringen,2013,311513
bund,2011,968416
bremen,2007,276042
nordrhein-westfalen,1984,116336
nordrhein-westfalen,1996,506645
hamburg,2006,583621
nordrhein-westfalen,1980,176968
hamburg,2014,454792
niedersachsen,2003,473258
bund,1990,431206
schleswig-holstein,2008,292729
berlin,2014,410113
nordrhein-westfalen,2001,660957
nordrhein-westfalen,2003,575451
nordrhein-westfalen,1987,136435
niedersachsen,1984,246753
nordrhein-westfalen,2013,750753
hamburg,2013,508547
baden-württemberg,2009,756263
rheinland-pfalz,2008,245927
sachsen,1996,464302
nordrhein-westfalen,2000,593633
bund,1995,554484
bund,1980,355223
bayern,2015,443803
niedersachsen,2009,667504
nordrhein-westfalen,1993,387301
schleswig-holstein,2000,128901
rheinland-pfalz,2003,214111
schleswig-holstein,2002,181893
nordrhein-westfalen,2005,583679
schleswig-holstein,2006,237346
berlin,2011,578225
nordrhein-westfalen,1985,141405
hessen,2011,387811
sachsen,2015,956501
brandenburg,2016,672070
hessen,1978,108022
nordrhein-westfalen,1990,125370
brandenburg,2012,661812
nordrhein-westfalen,1973,40871
rheinland-pfalz,2013,270369
bremen,2013,211566
brandenburg,2004,249293
thüringen,2002,343276
baden-württemberg,2001,380395
hessen,2016,653361
nordrhein-westfalen,2002,596248
sachsen-anhalt,1999,180123
sachsen-anhalt,2007,238732
thüringen,1995,183805
baden-württemberg,2016,701167
niedersachsen,2014,608526
nordrhein-westfalen,2018,588706
hessen,2001,387191
sachsen,1999,489234
sachsen-anhalt,1993,246416
bremen,2012,224505
schleswig-holstein,2010,271673
hessen,1980,133702
schleswig-holstein,1998,135419
baden-württemberg,2005,623854
hessen,2002,412446
nordrhein-westfalen,1977,119480
baden-württemberg,2008,678127
nordrhein-westfalen,2008,596233
brandenburg,2003,584609
niedersachsen,2017,697533
berlin,2016,471606
bund,1975,344918
bayern,2005,635067
berlin,2015,411970
nordrhein-westfalen,2015,465009
schleswig-holstein,1995,102588
sachsen,2017,944978
berlin,2008,573881
berlin,2010,594062
brandenburg,2010,651032
hessen,2003,454223
saarland,2013,108267
nordrhein-westfalen,1974,74519
thüringen,1999,360000
baden-württemberg,2007,624518
hamburg,2000,480570
rheinland-pfalz,2001,208383
berlin,1998,355262
bayern,1991,343165
mecklenburg-vorpommern,2016,309605
rheinland-pfalz,2004,236982
niedersachsen,1994,304294
bayern,2006,603647
hessen,1981,144480
brandenburg,2007,299871
bund,1979,284721
mecklenburg-vorpommern,2003,108014
hessen,2009,515525
schleswig-holstein,2018,378948
schleswig-holstein,2009,320872
mecklenburg-vorpommern,2004,115632
bund,1976,388715
hamburg,2008,537810
niedersachsen,2004,532577
brandenburg,2017,710134
nordrhein-westfalen,1964,135797
thüringen,2010,300210
schleswig-holstein,2005,235708
bund,1999,610755
mecklenburg-vorpommern,2000,51161
bayern,1983,463149
sachsen-anhalt,2009,265751
schleswig-holstein,2001,170143
nordrhein-westfalen,2010,570735
rheinland-pfalz,2009,238764
schleswig-holstein,1997,164796
hessen,2004,424109
sachsen-anhalt,1992,160980
rheinland-pfalz,2012,270262
bremen,2015,232771
hamburg,1996,761503
sachsen-anhalt,1996,134079
baden-württemberg,1999,395652
hamburg,1998,624805
mecklenburg-vorpommern,2014,269819
nordrhein-westfalen,2016,544786
hamburg,2002,327418
niedersachsen,2008,600151
bremen,2018,292271
niedersachsen,1995,271714
sachsen-anhalt,2015,292144
rheinland-pfalz,2011,243047
nordrhein-westfalen,1992,164637
schleswig-holstein,1981,121251
mecklenburg-vorpommern,2008,161466
hessen,2000,294558
sachsen-anhalt,2018,298652
bremen,2006,262111
baden-württemberg,2003,624739
berlin,2013,460765
mecklenburg-vorpommern,2010,258409
sachsen-anhalt,2000,214901
bund,2001,801620
rheinland-pfalz,1996,144450
hamburg,2010,503110
sachsen-anhalt,2006,243052
bayern,2000,544834
nordrhein-westfalen,1983,123954
sachsen-anhalt,2014,342212
rheinland-pfalz,2017,255467
bund,2006,839934
brandenburg,2014,625339
niedersachsen,1987,245396
hamburg,2018,451795
bremen,2004,143009
sachsen-anhalt,2016,329065
bund,2015,515686
mecklenburg-vorpommern,2007,134948
saarland,2016,151993
hessen,1989,206986
baden-württemberg,2013,675684
rheinland-pfalz,2010,246855
berlin,2018,340398
sachsen-anhalt,2010,262412
hamburg,2003,347492
brandenburg,2013,723073
brandenburg,2002,501893
niedersachsen,2015,590674
sachsen-anhalt,2004,259995
schleswig-holstein,2011,267407
nordrhein-westfalen,1995,269897
bund,1984,593903
berlin,1996,267223
rheinland-pfalz,1995,146796
bremen,2003,115747
baden-württemberg,2011,706644
bund,1997,520154
bayern,2009,467565
brandenburg,1994,218525
bund,2014,411002
brandenburg,2018,354768
baden-württemberg,1992,151268
bund,1993,488362
mecklenburg-vorpommern,2015,296158
niedersachsen,2007,575911
sachsen,2010,253564
hessen,2006,484294
hamburg,1993,417375
bayern,2004,667858
bayern,2010,517950
sachsen,2002,643272
niedersachsen,2012,618239
nordrhein-westfalen,2017,486408
