token,year,count
rechtsterror,1993,0.00004372456801493194
rechtsterror,1994,0.000023278009264647687
rechtsterror,1995,0.00006846267072878513
rechtsterror,1996,0.00003805954855520098
rechtsterror,1997,0.000030225016357067674
rechtsterror,1998,0.000047319435560718994
rechtsterror,1999,0.000028015599085570847
rechtsterror,2000,0.00004142729205631675
rechtsterror,2001,0.000011017882022522554
rechtsterror,2002,0.000009189918863227459
rechtsterror,2003,0.000019792405936590785
rechtsterror,2004,0.000009967953031005317
rechtsterror,2005,0.000011861519497144567
rechtsterror,2006,0.000006598046978094484
rechtsterror,2007,0.000006099873224301488
rechtsterror,2008,0.000004811083196137278
rechtsterror,2009,0.000005470683972263632
rechtsterror,2010,0.000004651426732121543
rechtsterror,2011,0.00007185819298886454
rechtsterror,2012,0.0000829146287048735
rechtsterror,2013,0.00006269290951781423
rechtsterror,2014,0.00004341374084364739
rechtsterror,2015,0.000056303136084679915
rechtsterror,2016,0.00005858826688583018
rechtsterror,2017,0.0000612527102226578
rechtsterror,2018,0.00007751971369385742
