token,year,count
cyber,1993,0
cyber,1994,0
cyber,1995,0.0000021394584602745353
cyber,1996,0
cyber,1997,0
cyber,1998,0
cyber,1999,0.0000014007799542785423
cyber,2000,0
cyber,2001,0.000009014630745700272
cyber,2002,0
cyber,2003,0.0000018849910415800748
cyber,2004,0
cyber,2005,0.0000018248491534068566
cyber,2006,0.000007540625117822267
cyber,2007,0.000013216391985986557
cyber,2008,0.000015395466227639287
cyber,2009,0.000010029587282483325
cyber,2010,0.000011163424157091704
cyber,2011,0.00006415910088291477
cyber,2012,0.00004615865927900174
cyber,2013,0.00006355171649751032
cyber,2014,0.00007005399090679465
cyber,2015,0.0001065428575140866
cyber,2016,0.00016193145986500288
cyber,2017,0.00023074651111275196
cyber,2018,0.00028510028036296455
